Checkup date,System ID,Calibration,Setup quality,Indoor / Outdoor,Far / Close,Is Measurable Focus Image (Yes/No),"If Not Measurable, Why?",Has Quality Issue (Yes/No),Quality Issue Type,which camera (left/right/none/both),Focus image,Focus severity,source_sheet,joined_image,cam0_image,cam1_image
2026-01-12 00:00:00,5bebd54a4d2a230799c92df7,BASKETBALL,,Indoor,Close,yes,-,no,-,none,Focus image,OK,POC_1.0,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5bebd54a4d2a230799c92df7/9352095b-b672-46c2-b6e8-da737e044801/focus/joined_0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5bebd54a4d2a230799c92df7/9352095b-b672-46c2-b6e8-da737e044801/focus/CAM0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5bebd54a4d2a230799c92df7/9352095b-b672-46c2-b6e8-da737e044801/focus/CAM1_1.jpg
2026-01-12 00:00:00,5baa1df92b4397078488d30e,WRESTLING,,Indoor,Close,yes,-,no,-,none,Focus image,WARNING,POC_1.0,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5baa1df92b4397078488d30e/7d8e871c-3a51-4bc0-9131-0673bdbd25ab/focus/joined_0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5baa1df92b4397078488d30e/7d8e871c-3a51-4bc0-9131-0673bdbd25ab/focus/CAM0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5baa1df92b4397078488d30e/7d8e871c-3a51-4bc0-9131-0673bdbd25ab/focus/CAM1_1.jpg
2026-01-12 00:00:00,5c22b4798c76fc07a6bc26bd,WRESTLING,,Indoor,Close,yes,-,no,-,none,Focus image,OK,POC_1.0,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5c22b4798c76fc07a6bc26bd/feb55636-0011-4bc3-a08c-8b0a6ceb447d/focus/joined_0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5c22b4798c76fc07a6bc26bd/feb55636-0011-4bc3-a08c-8b0a6ceb447d/focus/CAM0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5c22b4798c76fc07a6bc26bd/feb55636-0011-4bc3-a08c-8b0a6ceb447d/focus/CAM1_1.jpg
2026-01-12 00:00:00,5bebd8953e663c077bc36467,VOLLEYBALL,,Indoor,Close,yes,-,yes,focus,left,Focus image,ERROR,POC_1.0,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5bebd8953e663c077bc36467/2d541053-4731-4c4f-91f5-b1dd36410d22/focus/joined_0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5bebd8953e663c077bc36467/2d541053-4731-4c4f-91f5-b1dd36410d22/focus/CAM0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5bebd8953e663c077bc36467/2d541053-4731-4c4f-91f5-b1dd36410d22/focus/CAM1_1.jpg
2026-01-12 00:00:00,5af43634f21c7a0d11389ae7,OTHER,,Indoor,Close,yes,-,yes,focus,left,Focus image,WARNING,POC_1.0,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5af43634f21c7a0d11389ae7/16dbf72f-374f-4a25-b4f0-f91ff3e91432/focus/joined_0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5af43634f21c7a0d11389ae7/16dbf72f-374f-4a25-b4f0-f91ff3e91432/focus/CAM0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5af43634f21c7a0d11389ae7/16dbf72f-374f-4a25-b4f0-f91ff3e91432/focus/CAM1_1.jpg
2026-01-12 00:00:00,5bebcb4d3e663c077bc36432,WRESTLING,,Indoor,Far,yes,-,no,-,none,Focus image,OK,POC_1.0,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5bebcb4d3e663c077bc36432/e906ba54-8e11-43a6-b587-476e02362708/focus/joined_0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5bebcb4d3e663c077bc36432/e906ba54-8e11-43a6-b587-476e02362708/focus/CAM0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5bebcb4d3e663c077bc36432/e906ba54-8e11-43a6-b587-476e02362708/focus/CAM1_1.jpg
2026-01-12 00:00:00,5b0fb5f32c7f9d376b7e44fa,AMERICANFOOTBALL,,Outdoor,Far,yes,-,yes,focus,left,Focus image,WARNING,POC_1.0,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5b0fb5f32c7f9d376b7e44fa/3dc12722-9331-4eec-b3c2-ac3438f87782/focus/joined_0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5b0fb5f32c7f9d376b7e44fa/3dc12722-9331-4eec-b3c2-ac3438f87782/focus/CAM0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5b0fb5f32c7f9d376b7e44fa/3dc12722-9331-4eec-b3c2-ac3438f87782/focus/CAM1_1.jpg
2026-01-12 00:00:00,5b8687b0043dbc0f689247fa,BASKETBALL,,Indoor,Close,yes,-,yes,focus,right,Focus image,WARNING,POC_1.0,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5b8687b0043dbc0f689247fa/d29519c4-029e-4351-80c6-64d374241fde/focus/joined_0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5b8687b0043dbc0f689247fa/d29519c4-029e-4351-80c6-64d374241fde/focus/CAM0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5b8687b0043dbc0f689247fa/d29519c4-029e-4351-80c6-64d374241fde/focus/CAM1_1.jpg
2026-01-12 00:00:00,5a966a91bf01fb57093e77fb,AMERICANFOOTBALL,,Outdoor,Far,no,snow + low light,yes,focus,right,Focus image,NA,POC_1.0,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5a966a91bf01fb57093e77fb/579d3edd-34cf-42e4-af08-682337a4082b/focus/joined_0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5a966a91bf01fb57093e77fb/579d3edd-34cf-42e4-af08-682337a4082b/focus/CAM0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5a966a91bf01fb57093e77fb/579d3edd-34cf-42e4-af08-682337a4082b/focus/CAM1_1.jpg
2026-01-12 00:00:00,5b90e43d8026ad07a87a9e70,BASKETBALL,,Indoor,Close,yes,-,no,-,none,Focus image,OK,POC_1.0,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5b90e43d8026ad07a87a9e70/81f3f817-6262-4f68-87ee-af5dadd6f321/focus/joined_0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5b90e43d8026ad07a87a9e70/81f3f817-6262-4f68-87ee-af5dadd6f321/focus/CAM0_1.jpg,/home/lior/Work/pcm_push/annotation_data/2026-01-12/5b90e43d8026ad07a87a9e70/81f3f817-6262-4f68-87ee-af5dadd6f321/focus/CAM1_1.jpg
